catalog,man,bran,year,circa,surf,textureWord,glossWord,colorWord,thicknessWord,dims,backp,postcard,toner,resin,sb,sbid,suffs,dmin,dmax,dminHex,dmaxHex,auc,roughness,gloss,thickness,expressiveness,radarGroup,expressivenessGroup,isoGroup,gep100,gep150,gep200,gep250,gep300,tmap,processing
17f,Agfa Gevaert,Brovira,1974,0,113,Smooth,Matte,Extra White,Double Weight,2.75 x 4.75,A10,0,,0,1,17,,5.81,0.18,#f5ede3,#424141,3.766,0.029,2.629,0.299,1.649,1_0_1_1,2.0,1.0,"[22, 27, 0]","[33, 19, 0]","[55, 33, 0]","[93, 49, 0]","[134, 57, 0]","[56.0, 12.0, 0]",0
17g,Agfa Gevaert,Brovira,1974,0,117,,Silk,Extra White,Double Weight,2.75 x 4.75,A10,0,,0,1,17,,4.91,1.18,#f5eee5,#1f1e1c,4.518,0.089,26.472,0.282,1.657,1_1_1_4,2.0,1.0,"[19, 15, 0]","[57, 25, 0]","[99, 32, 0]","[154, 39, 0]","[221, 47, 0]","[73.0, 84.0, 2]",0
17h,Agfa Gevaert,Brovira,1974,0,119,Fine Grained,Glossy,Extra White,Double Weight,2.75 x 4.75,A10,0,,0,1,17,,5.01,0.7,#f5ede5,#21201f,4.679,0.042,35.512,0.266,1.467,1_2_1_3,1.0,1.0,"[28, -3, 0]","[67, 0, 0]","[119, -1, 0]","[185, -1, 0]","[267, -1, 0]","[74.0, 42.0, 2]",0
17i,Agfa Gevaert,Record Rapid,1974,0,1,,Glossy,Extra White,Single Weight,2.75 x 4.75,A09,0,,0,1,17,,3.42,2.06,#f3eee8,#1b1916,3.87,0.018,77.774,0.17,1.043,0_3_1_1,0.0,0.0,"[36, -44, 0]","[88, -61, 0]","[157, -81, 0]","[246, -101, 0]","[355, -121, 0]","[48.0, 80.0, 1]",0
17j,Agfa Gevaert,Record Rapid,1974,0,112,Smooth,Semi Matte,Extra White,Double Weight,2.75 x 4.75,A10,0,,0,1,17,,5.32,0.75,#f5eee5,#343332,3.592,0.03,4.976,0.3,1.631,1_0_1_1,2.0,1.0,"[20, 19, 0]","[33, 22, 0]","[58, 32, 0]","[94, 40, 0]","[136, 49, 0]","[56.0, 41.0, 1]",0
17k,Agfa Gevaert,Record Rapid,1974,0,118,Fine Grained,Matte,White,Double Weight,2.75 x 4.75,A10,0,,0,1,17,,7.37,-0.36,#f4ebde,#363637,3.033,0.062,3.958,0.277,1.735,1_0_2_4,2.0,1.0,"[-25, 27, 0]","[-10, 37, 0]","[2, 54, 0]","[-6, 61, 0]","[-5, 72, 0]","[75.0, 54.0, 2]",0
17l,Agfa Gevaert,Rekord Rapid,1974,0,119,Fine Grained,Glossy,Extra White,Double Weight,2.75 x 4.75,A10,0,,0,1,17,,5.69,0.44,#f4ece2,#171414,4.862,0.046,33.317,0.265,1.5,1_1_1_3,1.0,1.0,"[26, 8, 0]","[50, 17, 0]","[94, 23, 0]","[148, 29, 0]","[214, 35, 0]","[77.0, 55.0, 1]",0
17m,Agfa Gevaert,Portriga Rapid,1974,0,111,,Glossy,Extra White,Double Weight,2.75 x 4.75,A09,0,,0,1,17,,7.45,0.94,#f4ebde,#141211,0.568,0.01,90.555,0.28,1.185,1_4_2_0,0.0,1.0,"[33, -37, 0]","[82, -51, 0]","[146, -68, 0]","[229, -85, 0]","[331, -102, 0]","[14.0, 28.0, 0]",0
17n,Agfa Gevaert,Portriga Rapid,1974,0,112,Smooth,Semi Matte,Extra White,Double Weight,2.75 x 4.75,A10,0,,0,1,17,,7.77,2.8,#f4eedf,#3c3935,0.711,0.029,4.948,0.298,1.677,1_0_2_1,2.0,1.0,"[5, 11, 0]","[16, 35, 0]","[23, 43, 0]","[38, 53, 0]","[56, 64, 0]","[57.0, 40.0, 0]",0
17o,Agfa Gevaert,Portriga Rapid,1974,0,113,Smooth,Matte,Extra White,Double Weight,2.75 x 4.75,A10,0,,0,1,17,,8.69,-0.73,#f5eede,#3d3d3f,0.622,0.029,1.061,0.299,1.714,1_0_2_1,2.0,1.0,"[12, 31, 0]","[20, 34, 0]","[23, 39, 0]","[43, 57, 0]","[61, 68, 0]","[55.0, 12.0, 0]",0
17p,Agfa Gevaert,Portriga Rapid,1974,0,118,Fine Grained,Matte,White,Double Weight,2.75 x 4.75,A10,0,,0,1,17,,9.34,2.57,#f5eddc,#3d3a37,1.092,0.064,4.569,0.276,1.778,1_0_2_4,2.0,1.0,"[-13, 35, 0]","[0, 41, 0]","[4, 51, 0]","[4, 63, 0]","[5, 74, 0]","[75.0, 56.0, 1]",0
17q,Agfa Gevaert,Portriga Rapid,1974,0,138,,,,,,A10,0,,0,1,17,,13.4,0.34,#f7e8d0,#373636,0.155,0.065,4.258,0.271,1.856,1_0_3_4,3.0,1.0,"[-20, 26, 0]","[-12, 33, 0]","[-26, 38, 0]","[-42, 48, 0]","[-62, 58, 0]","[75.0, 54.0, 0]",0
18,Kodak,Velox,1970,0,F,Smooth,Glossy,White,Single Weight,2.5 x 3.5,K10,0,,0,0,,v|b,-0.46,,#e9ebeb,,1.464,0.018,55.163,0.164,1.062,0_2_0_1,0.0,0.0,"[36, -2, 0]","[81, -4, 0]","[146, -6, 0]","[230, -8, 0]","[333, -9, 0]","[39.0, 51.0, 0]",0
20a,Kodak,,1941,0,,Smooth,Glossy,,,,,0,,0,1,20,,,,,,,,98.07,,,,,,"[718, 511, 0]","[526, 648, 0]","[637, 574, 0]","[651, 529, 0]","[530, 727, 0]","[660, 539, 0]",0
20b,Kodak,,1941,0,,Smooth,Luster,,,,,0,,0,1,20,,,,,,,,25.201,,,,,,"[593, 528, 0]","[538, 699, 0]","[787, 758, 0]","[767, 585, 0]","[662, 798, 0]","[702, 699, 0]",0
20c,Kodak,,1941,0,,Smooth,Luster,,,,,0,,0,1,20,,,,,,,,21.037,,,,,,"[673, 522, 0]","[657, 780, 0]","[717, 643, 0]","[530, 543, 0]","[648, 668, 0]","[796, 704, 0]",0
20d,Kodak,,1941,0,,Fine Grained,Luster,,,,,0,,0,1,20,,,,,,,,8.817,,,,,,"[793, 650, 0]","[771, 510, 0]","[741, 595, 0]","[640, 746, 0]","[643, 648, 0]","[608, 534, 0]",0
