catalog,man,bran,year,circa,surf,textureWord,glossWord,colorWord,thicknessWord,dims,backp,postcard,toner,resin,sb,sbid,suffs,dmin,dmax,dminHex,dmaxHex,auc,roughness,gloss,thickness,expressiveness,radarGroup,expressivenessGroup,isoGroup,gep100,gep150,gep200,gep250,gep300,tmap,processing
2086j,Kodak,Polycontrast,1979,0,F,Smooth,Glossy,White,,,,0,,0,1,2086,,3.18,3.78,#ecebe4,#63605a,0.223,0.012,88.004,0.16,0.958,0_4_1_0,0.0,0.0,"[32, -42, 0]","[90, -69, 0]","[162, -90, 0]","[254, -111, 0]","[368, -133, 0]","[18.0, 31.0, 0]",0
2086k,Kodak,Polycontrast Rapid,1979,0,N,Smooth,Luster,White,,,,0,,0,1,2086,,5.09,0.89,#e9e4db,#3b3a39,0.172,0.037,6.29,0.171,1.469,0_0_1_2,1.0,0.0,"[12, -3, 0]","[35, 3, 0]","[64, 10, 0]","[101, 12, 0]","[147, 14, 0]","[53.0, 17.0, 0]",0
2087a,Defender,Velour Black,1940,1,A,,Semi Matte,White,Single Weight,,,0,,0,1,2087,,7.99,1.12,#eeeada,#51504e,0.175,0.026,8.973,,,,,,"[752, 574, 0]","[616, 799, 0]","[708, 537, 0]","[781, 716, 0]","[661, 522, 0]","[53.0, 13.0, 1]",0
2087b,Defender,Velour Black,1940,1,B,,Semi Matte,White,Double Weight,,,0,,0,1,2087,,5.92,2.42,#f0ece1,#383632,0.127,0.026,7.746,,,,,,"[639, 682, 0]","[662, 677, 0]","[729, 635, 0]","[632, 656, 0]","[730, 736, 0]","[50.0, 37.0, 1]",0
2087c,Defender,Velour Black,1940,1,C,,Matte,White,Double Weight,,,0,,0,1,2087,,6.14,3.61,#f1ede2,#4d4944,0.13,0.024,3.679,,,,,,"[508, 593, 0]","[768, 579, 0]","[721, 533, 0]","[588, 575, 0]","[683, 678, 0]","[51.0, 34.0, 0]",0
2087d,Defender,Velour Black,1940,1,D,Platinum,Matte,White,Single Weight,,,0,,0,1,2087,,7.15,3.74,#efeadc,#4e4b46,0.121,0.063,1.917,,,,,,"[680, 696, 0]","[623, 788, 0]","[672, 546, 0]","[607, 600, 0]","[675, 675, 0]","[92.0, 40.0, 1]",0
2087e,Defender,Velour Black,1940,1,AL,Document,Semi Matte,White,Single Weight,,,0,,0,1,2087,,7.05,0.84,#e6e3d5,#353332,0.152,0.057,5.692,,,,,,"[515, 676, 0]","[715, 639, 0]","[766, 563, 0]","[566, 716, 0]","[746, 749, 0]","[53.0, 3.0, 0]",0
2087f,Defender,Velour Black,1940,1,N,,Matte,White,Single Weight,,,0,,0,1,2087,,5.09,1.03,#ece9df,#41403e,0.03,0.029,2.963,,,,,,"[683, 584, 0]","[632, 714, 0]","[631, 574, 0]","[751, 515, 0]","[784, 735, 0]","[53.0, 36.0, 2]",0
2087g,Defender,Velour Black,1940,1,DDL,Rough,Luster,White,Double Weight,,,0,,0,1,2087,,8.36,2.16,#f0ecdc,#3b3936,0.129,0.092,5.71,,,,,,"[545, 764, 0]","[688, 518, 0]","[764, 531, 0]","[659, 564, 0]","[746, 615, 0]","[78.0, 18.0, 1]",0
2087h,Defender,Velour Black,1940,1,DD,Rough,Matte,White,Double Weight,,,0,,0,1,2087,,9.42,5.52,#f0ebd9,#524e45,0.107,0.083,2.416,,,,,,"[609, 502, 0]","[651, 771, 0]","[532, 638, 0]","[668, 697, 0]","[521, 793, 0]","[74.0, 10.0, 0]",0
2087i,Defender,Velour Black,1940,1,J,Platinum,Luster,White,Double Weight,,,0,,0,1,2087,,6.61,1.15,#efeade,#333130,0.124,0.051,6.095,,,,,,"[552, 727, 0]","[689, 619, 0]","[609, 696, 0]","[715, 629, 0]","[638, 577, 0]","[91.0, 39.0, 1]",0
2087j,Defender,Velour Black,1940,1,JS,Velvet Grain,High Luster,Pure White,Double Weight,,,0,,0,1,2087,,6.98,3.29,#ede9db,#2f2c28,0.126,0.075,11.002,,,,,,"[715, 793, 0]","[681, 748, 0]","[792, 699, 0]","[602, 618, 0]","[747, 544, 0]","[92.0, 39.0, 0]",0
2087k,Defender,Velour Black,1940,1,DL,Velvet Grain,Luster,Natural White,Double Weight,,,0,,0,1,2087,,8.48,1.91,#efe8d8,#3b3836,0.103,0.055,5.129,,,,,,"[543, 529, 0]","[576, 772, 0]","[623, 513, 0]","[718, 647, 0]","[516, 692, 0]","[92.0, 38.0, 1]",0
2087l,Defender,Velour Black,1940,1,DM,Velvet Grain,Matte,Natural White,Double Weight,,,0,,0,1,2087,,7.72,2.85,#f1ebdc,#4d4a46,0.122,0.071,3.048,,,,,,"[596, 591, 0]","[581, 677, 0]","[533, 627, 0]","[671, 672, 0]","[616, 581, 0]","[93.0, 37.0, 0]",0
2087m,Defender,Velour Black,1940,1,EL,Velvet Grain,Luster,Buff,Double Weight,,,0,,0,1,2087,,18.21,4.87,#f0dfbe,#3f3b34,0.083,0.077,6.881,,,,,,"[688, 752, 0]","[641, 758, 0]","[755, 503, 0]","[676, 670, 0]","[509, 565, 0]","[50.0, 2.0, 1]",0
2087n,Defender,Velour Black,1940,1,EP,Platinum,Matte,Buff,Double Weight,,,0,,0,1,2087,,19.47,2.01,#f4e1be,#454240,0.088,0.048,1.717,,,,,,"[792, 753, 0]","[543, 757, 0]","[719, 515, 0]","[700, 797, 0]","[518, 701, 0]","[80.0, 21.0, 2]",0
2087o,Defender,Velour Black,1940,1,QL,Super Rough,Luster,Cream,Double Weight,,,0,,0,1,2087,,14.56,1.91,#f0e7cb,#3f3c3a,0.162,0.093,4.315,,,,,,"[571, 571, 0]","[648, 718, 0]","[506, 797, 0]","[709, 591, 0]","[755, 696, 0]","[77.0, 18.0, 2]",0
2087p,Defender,Velour Black,1940,1,LKK,Rough,Matte,Buff,Double Weight,,,0,,0,1,2087,,20.69,1.94,#f3e1bc,#3c3a37,0.091,0.104,4.66,,,,,,"[761, 509, 0]","[595, 618, 0]","[696, 591, 0]","[554, 603, 0]","[610, 544, 0]","[81.0, 19.0, 3]",0
2087q,Defender,Velour Black,1940,1,F,Veltex,Luster,White,Single Weight,,,0,,0,1,2087,,11.73,2.47,#ebe3cd,#3a3734,0.141,0.069,6.211,,,,,,"[751, 609, 0]","[536, 570, 0]","[580, 567, 0]","[504, 555, 0]","[765, 602, 0]","[74.0, 17.0, 0]",0
2087r,Defender,Velour Black,1940,1,I,Rough,Matte,White,Medium Weight,,,0,,0,1,2087,,6.17,1.47,#efebe0,#444341,0.054,0.088,2.799,,,,,,"[512, 552, 0]","[523, 595, 0]","[731, 673, 0]","[509, 528, 0]","[773, 652, 0]","[72.0, 12.0, 0]",0
2087s,Defender,Velour Black,1940,1,T,,Glossy,,Double Weight,,,0,,0,1,2087,,6.02,3.21,#eeeadf,#27231f,0.143,0.009,95.452,,,,,,"[694, 533, 0]","[660, 656, 0]","[563, 798, 0]","[634, 503, 0]","[662, 770, 0]","[13.0, 25.0, 0]",0
2087t,Defender,Velour Black,1940,1,S,,Glossy,,Single Weight,,,0,,0,1,2087,,5.67,2.65,#eeebe0,#262320,0.132,0.009,92.961,,,,,,"[790, 634, 0]","[649, 538, 0]","[719, 578, 0]","[789, 794, 0]","[532, 731, 0]","[16.0, 35.0, 1]",0
2087u,Defender,Velour Black,1940,1,,,,,,,,0,,0,1,2087,,,,,,,0.018,2.619,,,,,,"[711, 728, 0]","[747, 659, 0]","[725, 671, 0]","[538, 638, 0]","[662, 563, 0]","[49.0, 26.0, 5]",0
2087v,Defender,Velour Black,1940,1,,,,,,,,0,,0,1,2087,,,,,,,0.028,4.485,0.314,,,,1.0,"[688, 589, 0]","[580, 711, 0]","[539, 657, 0]","[540, 531, 0]","[776, 585, 0]","[2.0, 42.0, 1]",0
2087w,Defender,Velour Black,1940,1,,,,,,,,0,,0,1,2087,,,,,,,0.023,7.124,0.313,,,,1.0,"[513, 710, 0]","[756, 796, 0]","[584, 616, 0]","[773, 505, 0]","[646, 644, 0]","[2.0, 43.0, 0]",0
2087x,Defender,Velour Black,1940,1,Z,Canvas,,,Double Weight,,,0,,0,1,2087,,19.12,1.1,#ebddba,#4e4d4b,0.27,0.348,2.466,0.502,3.056,2_0_4_9,6.0,2.0,"[-19, 44, 0]","[-36, 71, 0]","[-63, 95, 0]","[-98, 119, 0]","[-141, 143, 0]","[95.0, 54.0, 0]",0
2087y,Defender,Velour Black,1940,1,AS,,Semi Glossy,White,Single Weight,,,0,,0,1,2087,,8.72,3.77,#ece6d6,#3c3934,0.125,0.022,17.567,,,,,,"[594, 645, 0]","[560, 754, 0]","[737, 544, 0]","[566, 651, 0]","[685, 768, 0]","[53.0, 36.0, 0]",0
2087z,Defender,Velour Black,1940,1,BT,,Semi Glossy,White,Double Weight,,,0,,0,1,2087,,8.31,2.27,#ede8d8,#22201d,0.115,0.026,23.756,,,,,,"[794, 710, 0]","[515, 607, 0]","[792, 512, 0]","[731, 746, 0]","[540, 669, 0]","[48.0, 43.0, 2]",0
2087aa,Defender,Velour Black,1940,1,B,,Semi Matte,White,Double Weight,5 x 7,,0,,0,1,2087,,,,,,,,,,,,,,"[562, 535, 0]","[592, 618, 0]","[698, 697, 0]","[744, 502, 0]","[736, 663, 0]","[656, 585, 0]",0
2087bb,Defender,Velour Black,1940,1,A,,Semi Matte,White,Single Weight,5 x 7,,0,,0,1,2087,,,,,,,,,,,,,,"[726, 600, 0]","[700, 674, 0]","[785, 737, 0]","[728, 711, 0]","[725, 648, 0]","[762, 656, 0]",0
2087cc,Defender,Velour Black,1940,1,C,,Matte,White,Double Weight,5 x 7,,0,,0,1,2087,,,,,,,,,,,,,,"[648, 643, 0]","[794, 594, 0]","[661, 555, 0]","[501, 674, 0]","[695, 695, 0]","[543, 781, 0]",0
2087dd,Defender,Velour Black,1940,1,AS,,Semi Glossy,White,Single Weight,5 x 7,,0,,0,1,2087,,,,,,,,,,,,,,"[658, 682, 0]","[604, 570, 0]","[584, 738, 0]","[715, 567, 0]","[675, 549, 0]","[643, 642, 0]",0
2087ee,Defender,Velour Black,1940,1,BT,,Semi Glossy,White,Double Weight,5 x 7,,0,,0,1,2087,,,,,,,,,,,,,,"[523, 747, 0]","[633, 765, 0]","[631, 784, 0]","[757, 636, 0]","[714, 666, 0]","[795, 769, 0]",0
2087ff,Defender,Velour Black,1940,1,AL,Document,Semi Matte,White,Single Weight,5 x 7,,0,,0,1,2087,,,,,,,,,,,,,,"[597, 776, 0]","[561, 560, 0]","[505, 709, 0]","[554, 633, 0]","[763, 550, 0]","[760, 536, 0]",0
2087gg,Defender,Velour Black,1940,1,D,Platinum,Matte,White,Double Weight,5 x 7,,0,,0,1,2087,,,,,,,,,,,,,,"[559, 784, 0]","[691, 621, 0]","[788, 690, 0]","[598, 689, 0]","[608, 614, 0]","[739, 584, 0]",0
2087hh,Defender,Velour Black,1940,1,DD,Rough,Matte,White,Double Weight,5 x 7,,0,,0,1,2087,,,,,,,,,,,,,,"[759, 743, 0]","[527, 501, 0]","[719, 547, 0]","[635, 653, 0]","[693, 590, 0]","[674, 636, 0]",0
2087ii,Defender,Velour Black,1940,1,QL,Super Rough,Luster,Cream,Double Weight,5 x 7,,0,,0,1,2087,,,,,,,,,,,,,,"[612, 691, 0]","[606, 539, 0]","[602, 523, 0]","[593, 594, 0]","[595, 635, 0]","[614, 743, 0]",0
2087jj,Defender,Velour Black,1940,1,DL,Velvet Grain,Luster,Natural White,Double Weight,5 x 7,,0,,0,1,2087,,,,,,,,,,,,,,"[543, 634, 0]","[718, 739, 0]","[566, 541, 0]","[796, 651, 0]","[592, 703, 0]","[753, 653, 0]",0
2087kk,Defender,Velour Black,1940,1,DDL,Rough,Luster,White,Double Weight,5 x 7,,0,,0,1,2087,,,,,,,,,,,,,,"[521, 517, 0]","[741, 719, 0]","[657, 561, 0]","[614, 618, 0]","[772, 753, 0]","[623, 639, 0]",0
2087ll,Defender,Velour Black,1940,1,DM,Velvet Grain,Matte,Natural White,Double Weight,5 x 7,,0,,0,1,2087,,,,,,,,,,,,,,"[507, 560, 0]","[598, 688, 0]","[563, 501, 0]","[510, 533, 0]","[694, 611, 0]","[626, 518, 0]",0
2087mm,Defender,Velour Black,1940,1,EL,Velvet Grain,Luster,Buff,Double Weight,5 x 7,,0,,0,1,2087,,,,,,,,,,,,,,"[608, 662, 0]","[732, 772, 0]","[561, 724, 0]","[717, 717, 0]","[711, 644, 0]","[620, 579, 0]",0
2087nn,Defender,Velour Black,1940,1,EP,Platinum,Matte,Buff,Double Weight,5 x 7,,0,,0,1,2087,,,,,,,,,,,,,,"[642, 773, 0]","[615, 793, 0]","[519, 538, 0]","[536, 776, 0]","[546, 707, 0]","[745, 524, 0]",0
2087oo,Defender,Velour Black,1940,1,LER,Rough,Matte,Buff,Double Weight,5 x 7,,0,,0,1,2087,,,,,,,,,,,,,,"[523, 672, 0]","[710, 715, 0]","[759, 578, 0]","[589, 531, 0]","[762, 525, 0]","[794, 778, 0]",0
2087pp,Defender,Velour Black,1940,1,K,Platinum,Luster,Buff,Double Weight,5 x 7,,0,,0,1,2087,,,,,,,,,,,,,,"[654, 669, 0]","[587, 684, 0]","[710, 596, 0]","[757, 520, 0]","[724, 606, 0]","[740, 763, 0]",0
2087qq,Defender,Velour Black,1940,1,LKK,Rough,Luster,Buff,Double Weight,5 x 7,,0,,0,1,2087,,,,,,,,,,,,,,"[538, 690, 0]","[671, 697, 0]","[511, 730, 0]","[788, 588, 0]","[702, 756, 0]","[789, 550, 0]",0
2087rr,Defender,Velour Black,1940,1,F,Veltex,Luster,,Single Weight,5 x 7,,0,,0,1,2087,,,,,,,,,,,,,,"[709, 683, 0]","[666, 775, 0]","[720, 654, 0]","[693, 590, 0]","[513, 520, 0]","[501, 559, 0]",0
2087ss,Defender,Velour Black,1940,1,I,Rough,Matte,White,Medium Weight,5 x 7,,0,,0,1,2087,,,,,,,,,,,,,,"[556, 657, 0]","[651, 681, 0]","[647, 595, 0]","[537, 552, 0]","[554, 600, 0]","[743, 773, 0]",0
2087tt,Defender,Velour Black,1940,1,J,Platinum,Matte,White,Double Weight,5 x 7,,0,,0,1,2087,,,,,,,,,,,,,,"[534, 533, 0]","[535, 754, 0]","[744, 582, 0]","[620, 773, 0]","[571, 645, 0]","[690, 699, 0]",0
2087uu,Defender,Velour Black,1940,1,JS,Velvet Grain,High Luster,Pure White,Double Weight,5 x 7,,0,,0,1,2087,,,,,,,,,,,,,,"[632, 736, 0]","[697, 550, 0]","[607, 679, 0]","[704, 774, 0]","[689, 686, 0]","[718, 565, 0]",0
2087vv,Defender,Velour Black,1940,1,N,,Matte,White,Single Weight,5 x 7,,0,,0,1,2087,,,,,,,,,,,,,,"[766, 651, 0]","[543, 748, 0]","[723, 776, 0]","[776, 691, 0]","[527, 799, 0]","[534, 566, 0]",0
2087ww,Defender,Velour Black,1940,1,R,,Glossy,Blue White,Single Weight,5 x 7,,0,,0,1,2087,,,,,,,,,,,,,,"[601, 695, 0]","[516, 573, 0]","[728, 775, 0]","[570, 504, 0]","[775, 691, 0]","[589, 707, 0]",0
2087xx,Defender,Velour Black,1940,1,T,,Glossy,,Double Weight,5 x 7,,0,,0,1,2087,,,,,,,,,,,,,,"[761, 690, 0]","[797, 582, 0]","[654, 515, 0]","[744, 539, 0]","[571, 729, 0]","[549, 725, 0]",0
2087yy,Defender,Velour Black,1940,1,T,,Glossy,,Double Weight,5 x 7,,0,,0,1,2087,,,,,,,,,,,,,,"[566, 688, 0]","[764, 563, 0]","[504, 688, 0]","[763, 628, 0]","[736, 583, 0]","[672, 521, 0]",0
2087zz,Defender,Velour Black,1940,1,Z,Canvas,,,Double Weight,5 x 7,,0,,0,1,2087,,,,,,,,,,,,,,"[773, 517, 0]","[771, 764, 0]","[560, 704, 0]","[580, 523, 0]","[577, 628, 0]","[592, 674, 0]",0
2087aaa,Defender,Velour Black,1940,1,Y,Silk,Luster,White,Double Weight,5 x 7,,0,,0,1,2087,,,,,,,,,,,,,,"[648, 790, 0]","[582, 718, 0]","[762, 737, 0]","[733, 645, 0]","[547, 793, 0]","[576, 562, 0]",0
2088a,Kodak London,Nikko,1932,1,Nikko (G),,Glossy,White,,,,0,,0,1,2088,,,,,,,0.012,96.493,0.21,,,,0.0,"[741, 750, 0]","[780, 596, 0]","[540, 655, 0]","[640, 525, 0]","[545, 522, 0]","[9.0, 41.0, 0]",0
2088b,Kodak London,Nikko,1935,1,Nikko (GC),,Glossy,Cream,,,,0,,0,1,2088,,,,,,,,75.144,0.24,,,,1.0,"[610, 630, 0]","[539, 712, 0]","[527, 795, 0]","[740, 722, 0]","[656, 732, 0]","[529, 616, 0]",0
2088c,Kodak London,Royal,1935,1,RFW,Royal Fine Grain,,White,,,,0,,0,1,2088,,,,,,,0.06,11.611,0.37,,,,1.0,"[514, 522, 0]","[625, 763, 0]","[519, 736, 0]","[770, 635, 0]","[753, 709, 0]","[58.0, 60.0, 1]",0
2088d,Kodak London,Royal,1935,1,RTF.D.,Fine Grained,Royal,Tinted,Double Weight,,,0,,0,1,2088,,,,,,,0.059,6.506,,,,,,"[602, 549, 0]","[603, 631, 0]","[716, 519, 0]","[612, 638, 0]","[757, 637, 0]","[62.0, 28.0, 0]",0
2088e,Kodak London,Royal,1935,1,RW,Royal,,White,,,,0,,0,1,2088,,,,,,,0.1,8.453,,,,,,"[678, 600, 0]","[511, 612, 0]","[655, 699, 0]","[665, 770, 0]","[681, 738, 0]","[72.0, 13.0, 0]",0
2088f,Kodak London,Royal,1935,1,RT,Royal,,Cream,,,,0,,0,1,2088,,,,,,,0.054,7.091,0.33,,,,1.0,"[550, 798, 0]","[584, 674, 0]","[566, 542, 0]","[716, 551, 0]","[530, 786, 0]","[58.0, 60.0, 2]",0
2088g,Kodak London,Bromodak,1935,1,K,,,,,,,0,,0,1,2088,,,,,,,0.057,13.281,,,,,,"[514, 720, 0]","[547, 631, 0]","[769, 578, 0]","[686, 719, 0]","[798, 752, 0]","[40.0, 27.0, 0]",0
2088h,Kodak London,Permanent,1935,1,PS,Smooth,,,,,,0,,0,1,2088,,,,,,,0.075,7.319,0.27,,,,1.0,"[765, 517, 0]","[584, 558, 0]","[686, 698, 0]","[769, 521, 0]","[598, 616, 0]","[62.0, 72.0, 2]",0
2088i,Kodak London,Cream Semimatte,1935,1,V,Velvet,Velvet,,,,,0,,0,1,2088,,,,,,,0.049,13.304,,,,,,"[578, 545, 0]","[591, 798, 0]","[716, 523, 0]","[715, 545, 0]","[534, 511, 0]","[38.0, 26.0, 2]",0
2088j,Kodak London,,1935,1,CV,,Semi Matte,Cream,,,,0,,0,1,2088,,,,,,,0.03,6.121,,,,,,"[604, 614, 0]","[700, 631, 0]","[705, 687, 0]","[620, 561, 0]","[704, 648, 0]","[41.0, 25.0, 0]",0
2088k,Kodak London,Platino,1935,1,MS,Smooth,Platino Matte,,,,,0,,0,1,2088,,,,,,,,2.971,0.32,,,,1.0,"[517, 790, 0]","[509, 686, 0]","[739, 585, 0]","[561, 789, 0]","[688, 766, 0]","[612, 752, 0]",0
2088l,Kodak London,,1935,1,CM,,Matte,Cream,,,,0,,0,1,2088,,,,,,,,2.674,,,,,,"[570, 788, 0]","[638, 598, 0]","[528, 520, 0]","[572, 679, 0]","[610, 623, 0]","[628, 724, 0]",0
2088m,Kodak London,Platino,1935,1,MR,Rough,Platino Matte,,,,,0,,0,1,2088,,,,,,,0.098,2.202,0.26,,,,1.0,"[692, 500, 0]","[747, 757, 0]","[684, 780, 0]","[772, 674, 0]","[738, 605, 0]","[59.0, 71.0, 0]",0
2088n,Kodak London,Platino,1935,1,,Natural Surface,Platino Matte,,,,,0,,0,1,2088,,,,,,,,4.219,0.41,,,,2.0,"[763, 760, 0]","[743, 577, 0]","[731, 691, 0]","[699, 558, 0]","[590, 727, 0]","[709, 629, 0]",0
2088o,Kodak London,Bromoil,1935,1,LW,Bromoil,,White,,,,0,,0,1,2088,,,,,,,,5.021,0.6,,,,3.0,"[735, 532, 0]","[648, 515, 0]","[675, 544, 0]","[666, 666, 0]","[730, 685, 0]","[711, 509, 0]",0
2088p,Kodak London,Bromoil,1935,1,LC,Bromoil,,Cream,,,,0,,0,1,2088,,,,,,,0.109,3.928,,,,,,"[642, 607, 0]","[752, 633, 0]","[567, 622, 0]","[688, 665, 0]","[564, 632, 0]","[67.0, 39.0, 3]",0
2088q,Kodak London,,1935,1,OW,Old Master,,White,,,,0,,0,1,2088,,,,,,,,7.383,0.45,,,,2.0,"[769, 509, 0]","[547, 779, 0]","[602, 672, 0]","[719, 674, 0]","[770, 722, 0]","[618, 547, 0]",0
2088r,Kodak London,,1935,1,OC,Old Master,,Cream,,,,0,,0,1,2088,,,,,,,,7.09,,,,,,"[575, 550, 0]","[706, 749, 0]","[567, 698, 0]","[657, 741, 0]","[610, 618, 0]","[519, 545, 0]",0
2089a,Neobrom,Sametin,1935,1,91,Velvet,Semi Glossy,White,Single Weight,,,0,,0,1,2089,,10.39,2.08,#c5baa9,#3b3634,0.089,0.065,5.434,0.22,1.724,1_0_2_4,2.0,1.0,"[-4, 44, 0]","[-12, 42, 0]","[-8, 46, 0]","[-6, 64, 0]","[-5, 75, 0]","[39.0, 29.0, 0]",0
2089b,Neobrom,Sametin,1935,1,93,Velvet,Semi Glossy,White,Double Weight,,,0,,0,1,2089,,13.61,3.09,#dacdb5,#322f2b,0.087,,17.131,0.3,,,,1.0,"[667, 569, 0]","[563, 529, 0]","[704, 582, 0]","[641, 796, 0]","[620, 662, 0]","[794, 739, 0]",0
2089c,Neobrom,Sametin,1935,1,93,Velvet,Semi Glossy,White,Double Weight,,,0,,0,1,2089,,12.93,1.81,#ded1ba,#363431,0.066,,16.821,0.31,,,,1.0,"[768, 528, 0]","[620, 526, 0]","[553, 789, 0]","[544, 512, 0]","[597, 646, 0]","[686, 732, 0]",0
2089d,Neobrom,Sametin,1935,1,95,Velvet,Semi Glossy,Cream,Double Weight,,,0,,0,1,2089,,17.23,2.01,#c6b396,#3a3735,0.046,,9.252,0.34,,,,1.0,"[590, 780, 0]","[687, 784, 0]","[712, 559, 0]","[640, 569, 0]","[590, 687, 0]","[620, 777, 0]",0
2089e,Neobrom,Neovera,1935,1,101,Velvet,Semi Matte,White,Double Weight,,,0,,0,1,2089,,18.93,-0.41,#cdbf9d,#1a1a1b,0.008,,30.002,0.29,,,,1.0,"[671, 772, 0]","[744, 504, 0]","[729, 703, 0]","[558, 789, 0]","[657, 703, 0]","[714, 792, 0]",0
2089f,Neobrom,Sametin,1935,1,96,Royal Grain,Semi Glossy,Cream,Double Weight,,,0,,0,1,2089,,26.16,5.45,#f1d8a9,#5a554d,0.118,,3.959,0.36,,,,1.0,"[760, 646, 0]","[634, 788, 0]","[516, 776, 0]","[629, 665, 0]","[589, 508, 0]","[555, 700, 0]",0
2089g,Neobrom,Neodur,1935,1,41 [Neodur],Smooth,Glossy,White,Single Weight,,,0,,0,1,2089,,11.91,5.85,#bdb6a0,#413c34,0.036,,61.179,0.13,,,,0.0,"[516, 649, 0]","[599, 645, 0]","[507, 681, 0]","[698, 675, 0]","[669, 679, 0]","[536, 795, 0]",0
2089h,Neobrom,,1935,1,7,Smooth,Glossy,White,Double Weight,,,0,,0,1,2089,,11.62,1.54,#c9c0ab,#2c2a28,0.062,,41.997,0.2,,,,0.0,"[644, 558, 0]","[711, 777, 0]","[514, 796, 0]","[748, 563, 0]","[513, 710, 0]","[734, 561, 0]",0
2089i,Neobrom,,1935,1,7,Smooth,Glossy,White,Double Weight,,,0,,0,1,2089,,9.73,2.76,#c0baa8,#2f2b28,0.092,,77.859,0.24,,,,1.0,"[555, 720, 0]","[614, 654, 0]","[501, 646, 0]","[607, 582, 0]","[623, 723, 0]","[515, 574, 0]",0
2089j,Neobrom,Neolux,1935,1,38B,Smooth,Semi Matte,White,Double Weight,,,0,,0,1,2089,,9.14,0.93,#ded7c6,#51504f,0.071,0.03,4.933,0.22,1.605,1_0_2_2,2.0,1.0,"[7, 42, 0]","[20, 44, 0]","[17, 56, 0]","[32, 65, 0]","[41, 66, 0]","[36.0, 30.0, 0]",0
2089k,Neobrom,Neodur,1935,1,40R,Silk,Semi Glossy,Cream,Double Weight,,,0,,0,1,2089,,17.53,1.42,#ebd9ba,#464442,0.102,,8.297,0.31,,,,1.0,"[688, 565, 0]","[543, 680, 0]","[592, 583, 0]","[748, 681, 0]","[618, 572, 0]","[694, 735, 0]",0
2089l,Neobrom,Neodur,1935,1,40E,Fine Grained,Matte,Cream,Double Weight,,,0,,0,1,2089,,21.17,1.47,#eedab4,#43413f,0.066,,1.57,0.29,,,,1.0,"[521, 513, 0]","[611, 665, 0]","[728, 508, 0]","[635, 626, 0]","[665, 705, 0]","[785, 759, 0]",0
2089m,Neobrom,Neodur,1935,1,41 [Neodur],Smooth,Glossy,White,Single Weight,,,0,,0,1,2089,,10.24,5.42,#d0c9b6,#534f47,0.065,,47.414,0.08,,,,0.0,"[760, 781, 0]","[542, 753, 0]","[593, 728, 0]","[688, 750, 0]","[691, 500, 0]","[567, 758, 0]",0
2089n,Neobrom,Neodur,1935,1,41 [Neodur],Smooth,Glossy,White,Single Weight,,,0,,0,1,2089,,12.67,6.11,#dcd4bc,#47433a,0.124,,60.795,0.13,,,,0.0,"[545, 562, 0]","[610, 539, 0]","[689, 713, 0]","[751, 636, 0]","[680, 754, 0]","[779, 577, 0]",0
2089o,Neobrom,Neodur,1935,1,41 [Neodur],Smooth,Glossy,White,Single Weight,,,0,,0,1,2089,,7.77,7.58,#e6e2d3,#aeaa9c,0.181,0.021,61.11,0.12,1.152,0_2_2_1,0.0,0.0,"[22, -17, 0]","[55, -20, 0]","[97, -26, 0]","[152, -32, 0]","[219, -38, 0]","[27.0, 32.0, 1]",0
2089p,Neobrom,Neodur,1935,1,41 [Neodur],Smooth,Glossy,White,Single Weight,,,0,,0,1,2089,,12.38,3.75,#d4cbb5,#43403b,0.052,,63.682,0.22,,,,1.0,"[551, 762, 0]","[770, 665, 0]","[764, 595, 0]","[576, 683, 0]","[741, 719, 0]","[698, 799, 0]",0
2089q,Neobrom,Neodur,1935,1,41 [Neodur],Smooth,Glossy,White,Single Weight,,,0,,0,1,2089,,13.88,4.37,#d0c6ad,#3a3630,0.073,,41.225,,,,,,"[572, 537, 0]","[545, 668, 0]","[602, 597, 0]","[798, 571, 0]","[631, 723, 0]","[561, 514, 0]",0
2089r,Neobrom,Neodur,1935,1,41 [Neodur],Smooth,Glossy,White,Single Weight,,,0,,0,1,2089,,11.8,4.6,#dfd8c2,#37332d,0.126,,53.877,0.17,,,,0.0,"[529, 762, 0]","[624, 573, 0]","[758, 505, 0]","[562, 691, 0]","[516, 657, 0]","[787, 727, 0]",0
2089s,Neobrom,Neodur,1935,1,41 [Neodur],Smooth,Glossy,White,Single Weight,,,0,,0,1,2089,,12.1,7.39,#827a66,#474237,-0.008,,68.342,0.26,,,,1.0,"[645, 699, 0]","[576, 565, 0]","[591, 615, 0]","[661, 572, 0]","[650, 646, 0]","[526, 591, 0]",0
2089t,Neobrom,Neodur,1935,1,41 [Neodur],Smooth,Glossy,White,Single Weight,,,0,,0,1,2089,,13.61,4.48,#b8ae96,#423e37,0.038,,63.264,0.18,,,,0.0,"[795, 776, 0]","[672, 712, 0]","[514, 600, 0]","[528, 753, 0]","[719, 571, 0]","[713, 548, 0]",0
2089u,Neobrom,Neodur,1935,1,41 [Neodur],Smooth,Glossy,White,Single Weight,,,0,,0,1,2089,,13.07,5.16,#dbd4bc,#3e3a33,-0.029,,60.886,0.19,,,,0.0,"[700, 790, 0]","[694, 629, 0]","[607, 572, 0]","[535, 652, 0]","[688, 790, 0]","[618, 535, 0]",0
